kst_date,status,report_path,fail_reason,adb_connected,app_running,pss_mb,watch_pid
"2026-06-28","CRITICAL","D:\arcfire20260607\tools\long-run-monitor\logs\overnight-final-report-20260628-0800.md","","yes","yes","1015.7","33096"
"2026-06-29","OK","D:\arcfire20260607\tools\long-run-monitor\logs\overnight-final-report-20260629-0800.md","","yes","yes","760.1","23520"
"2026-06-29","OK","D:\arcfire20260607\tools\long-run-monitor\logs\overnight-final-report-20260629-0800.md","","yes","yes","763.2","23520"
"2026-06-29","OK","D:\arcfire20260607\tools\long-run-monitor\logs\overnight-final-report-20260629-0800.md","","yes","yes","754.5","23520"
"2026-06-29","OK","D:\arcfire20260607\tools\long-run-monitor\logs\overnight-final-report-20260629-0800.md","","yes","yes","776.7","23520"
"2026-06-29","OK","D:\arcfire20260607\tools\long-run-monitor\logs\overnight-final-report-20260629-0800.md","","yes","yes","764.4","23520"
"2026-06-29","OK","D:\arcfire20260607\tools\long-run-monitor\logs\overnight-final-report-20260629-0800.md","","yes","yes","764.5","23520"
"2026-06-29","OK","D:\arcfire20260607\tools\long-run-monitor\logs\overnight-final-report-20260629-0800.md","","yes","yes","771.4","23520"
"2026-06-29","OK","D:\arcfire20260607\tools\long-run-monitor\logs\overnight-final-report-20260629-0800.md","","yes","yes","756.2","23520"
"2026-06-30","CRITICAL","D:\arcfire20260607\tools\long-run-monitor\logs\overnight-final-report-20260630-0800.md","","yes","yes","971.1","23520"
"2026-06-30","CRITICAL","D:\arcfire20260607\tools\long-run-monitor\logs\overnight-final-report-20260630-0800.md","","yes","yes","953.5","23520"
"2026-06-30","CRITICAL","D:\arcfire20260607\tools\long-run-monitor\logs\overnight-final-report-20260630-0800.md","","yes","yes","957.4","23520"
"2026-06-30","CRITICAL","D:\arcfire20260607\tools\long-run-monitor\logs\overnight-final-report-20260630-0800.md","","yes","yes","958.8","23520"
"2026-06-30","CRITICAL","D:\arcfire20260607\tools\long-run-monitor\logs\overnight-final-report-20260630-0800.md","","yes","yes","960.9","23520"
"2026-06-30","CRITICAL","D:\arcfire20260607\tools\long-run-monitor\logs\overnight-final-report-20260630-0800.md","","yes","yes","985.8","23520"
"2026-06-30","CRITICAL","D:\arcfire20260607\tools\long-run-monitor\logs\overnight-final-report-20260630-0800.md","","yes","yes","979.9","23520"
"2026-06-30","CRITICAL","D:\arcfire20260607\tools\long-run-monitor\logs\overnight-final-report-20260630-0800.md","","yes","yes","972.7","23520"
"2026-07-01","OK","D:\arcfire20260607\tools\long-run-monitor\logs\overnight-final-report-20260701-0800.md","","yes","yes","695.4","21300"
"2026-07-01","OK","D:\arcfire20260607\tools\long-run-monitor\logs\overnight-final-report-20260701-0800.md","","yes","yes","709.9","21300"
"2026-07-01","OK","D:\arcfire20260607\tools\long-run-monitor\logs\overnight-final-report-20260701-0800.md","","yes","yes","686.3","21300"
"2026-07-01","OK","D:\arcfire20260607\tools\long-run-monitor\logs\overnight-final-report-20260701-0800.md","","yes","yes","685.5","21300"
"2026-07-01","OK","D:\arcfire20260607\tools\long-run-monitor\logs\overnight-final-report-20260701-0800.md","","yes","yes","687.8","21300"
"2026-07-01","OK","D:\arcfire20260607\tools\long-run-monitor\logs\overnight-final-report-20260701-0800.md","","yes","yes","682.3","21300"
"2026-07-01","OK","D:\arcfire20260607\tools\long-run-monitor\logs\overnight-final-report-20260701-0800.md","","yes","yes","711.6","21300"
"2026-07-01","OK","D:\arcfire20260607\tools\long-run-monitor\logs\overnight-final-report-20260701-0800.md","","yes","yes","684.2","21300"
"2026-07-01","OK","D:\arcfire20260607\tools\long-run-monitor\logs\overnight-final-report-20260701-0800.md","","yes","yes","811.8","21300"
"2026-07-02","OK","D:\arcfire20260607\tools\long-run-monitor\logs\overnight-final-report-20260702-0800.md","","yes","yes","660.2","24156"
"2026-07-02","OK","D:\arcfire20260607\tools\long-run-monitor\logs\overnight-final-report-20260702-0800.md","","yes","yes","643.5","24156"
"2026-07-02","OK","D:\arcfire20260607\tools\long-run-monitor\logs\overnight-final-report-20260702-0800.md","","yes","yes","632.1","24156"
"2026-07-02","OK","D:\arcfire20260607\tools\long-run-monitor\logs\overnight-final-report-20260702-0800.md","","yes","yes","635.0","24156"
"2026-07-02","OK","D:\arcfire20260607\tools\long-run-monitor\logs\overnight-final-report-20260702-0800.md","","yes","yes","638.3","24156"
"2026-07-03","OK","D:\arcfire20260607\tools\long-run-monitor\logs\overnight-final-report-20260703-0800.md","","yes","yes","686.9","24156"
"2026-07-03","OK","D:\arcfire20260607\tools\long-run-monitor\logs\overnight-final-report-20260703-0800.md","","yes","yes","686.7","24156"
"2026-07-03","OK","D:\arcfire20260607\tools\long-run-monitor\logs\overnight-final-report-20260703-0800.md","","yes","yes","664.0","24156"
"2026-07-03","OK","D:\arcfire20260607\tools\long-run-monitor\logs\overnight-final-report-20260703-0800.md","","yes","yes","669.1","24156"
"2026-07-03","OK","D:\arcfire20260607\tools\long-run-monitor\logs\overnight-final-report-20260703-0800.md","","yes","yes","668.4","24156"
"2026-07-03","OK","D:\arcfire20260607\tools\long-run-monitor\logs\overnight-final-report-20260703-0800.md","","yes","yes","676.1","24156"
"2026-07-03","OK","D:\arcfire20260607\tools\long-run-monitor\logs\overnight-final-report-20260703-0800.md","","yes","yes","694.5","24156"
"2026-07-03","OK","D:\arcfire20260607\tools\long-run-monitor\logs\overnight-final-report-20260703-0800.md","","yes","yes","694.3","24156"
"2026-07-04","OK","D:\arcfire20260607\tools\long-run-monitor\logs\overnight-final-report-20260704-0800.md","","yes","yes","692.9","25024"
"2026-07-04","OK","D:\arcfire20260607\tools\long-run-monitor\logs\overnight-final-report-20260704-0800.md","","yes","yes","815.1","25024"
"2026-07-04","OK","D:\arcfire20260607\tools\long-run-monitor\logs\overnight-final-report-20260704-0800.md","","yes","yes","688.1","25024"
"2026-07-04","OK","D:\arcfire20260607\tools\long-run-monitor\logs\overnight-final-report-20260704-0800.md","","yes","yes","710.0","25024"
"2026-07-04","OK","D:\arcfire20260607\tools\long-run-monitor\logs\overnight-final-report-20260704-0800.md","","yes","yes","696.8","25024"
"2026-07-04","OK","D:\arcfire20260607\tools\long-run-monitor\logs\overnight-final-report-20260704-0800.md","","yes","yes","732.7","25024"
"2026-07-04","OK","D:\arcfire20260607\tools\long-run-monitor\logs\overnight-final-report-20260704-0800.md","","yes","yes","713.0","25024"
"2026-07-04","OK","D:\arcfire20260607\tools\long-run-monitor\logs\overnight-final-report-20260704-0800.md","","yes","yes","624.3","25024"
"2026-07-05","CRITICAL","D:\arcfire20260607\tools\long-run-monitor\logs\overnight-final-report-20260705-0800.md","","yes","yes","963.3","25024"
"2026-07-05","CRITICAL","D:\arcfire20260607\tools\long-run-monitor\logs\overnight-final-report-20260705-0800.md","","yes","yes","950.7","25024"
"2026-07-05","WARN","D:\arcfire20260607\tools\long-run-monitor\logs\overnight-final-report-20260705-0800.md","","yes","yes","921.4","25024"
"2026-07-05","WARN","D:\arcfire20260607\tools\long-run-monitor\logs\overnight-final-report-20260705-0800.md","","yes","yes","931.6","25024"
"2026-07-05","WARN","D:\arcfire20260607\tools\long-run-monitor\logs\overnight-final-report-20260705-0800.md","","yes","yes","920.2","25024"
"2026-07-05","WARN","D:\arcfire20260607\tools\long-run-monitor\logs\overnight-final-report-20260705-0800.md","","yes","yes","933.8","25024"
"2026-07-05","CRITICAL","D:\arcfire20260607\tools\long-run-monitor\logs\overnight-final-report-20260705-0800.md","","yes","yes","965.9","25024"
"2026-07-05","WARN","D:\arcfire20260607\tools\long-run-monitor\logs\overnight-final-report-20260705-0800.md","","yes","yes","948.7","25024"
"2026-07-06","OK","D:\arcfire20260607\tools\long-run-monitor\logs\overnight-final-report-20260706-0800.md","","yes","yes","570.5","25024"
"2026-07-06","OK","D:\arcfire20260607\tools\long-run-monitor\logs\overnight-final-report-20260706-0800.md","","yes","yes","562.7","25024"
"2026-07-06","OK","D:\arcfire20260607\tools\long-run-monitor\logs\overnight-final-report-20260706-0800.md","","yes","yes","562.1","25024"
"2026-07-06","OK","D:\arcfire20260607\tools\long-run-monitor\logs\overnight-final-report-20260706-0800.md","","yes","yes","559.0","25024"
"2026-07-06","OK","D:\arcfire20260607\tools\long-run-monitor\logs\overnight-final-report-20260706-0800.md","","yes","yes","568.0","25024"
"2026-07-06","OK","D:\arcfire20260607\tools\long-run-monitor\logs\overnight-final-report-20260706-0800.md","","yes","yes","561.6","25024"
"2026-07-06","OK","D:\arcfire20260607\tools\long-run-monitor\logs\overnight-final-report-20260706-0800.md","","yes","yes","566.2","25024"
"2026-07-06","OK","D:\arcfire20260607\tools\long-run-monitor\logs\overnight-final-report-20260706-0800.md","","yes","yes","559.9","25024"
"2026-07-07","OK","D:\arcfire20260607\tools\long-run-monitor\logs\overnight-final-report-20260707-0800.md","","yes","yes","792.0","25024"
"2026-07-07","OK","D:\arcfire20260607\tools\long-run-monitor\logs\overnight-final-report-20260707-0800.md","","yes","yes","788.3","25024"
"2026-07-07","OK","D:\arcfire20260607\tools\long-run-monitor\logs\overnight-final-report-20260707-0800.md","","yes","yes","804.2","25024"
"2026-07-07","OK","D:\arcfire20260607\tools\long-run-monitor\logs\overnight-final-report-20260707-0800.md","","yes","yes","817.6","25024"
"2026-07-07","OK","D:\arcfire20260607\tools\long-run-monitor\logs\overnight-final-report-20260707-0800.md","","yes","yes","792.2","25024"
"2026-07-07","OK","D:\arcfire20260607\tools\long-run-monitor\logs\overnight-final-report-20260707-0800.md","","yes","yes","787.7","25024"
"2026-07-07","OK","D:\arcfire20260607\tools\long-run-monitor\logs\overnight-final-report-20260707-0800.md","","yes","yes","800.9","25024"
"2026-07-07","OK","D:\arcfire20260607\tools\long-run-monitor\logs\overnight-final-report-20260707-0800.md","","yes","yes","795.1","25024"
"2026-07-08","OK","D:\arcfire20260607\tools\long-run-monitor\logs\overnight-final-report-20260708-0800.md","","yes","yes","820.8","25024"
"2026-07-08","OK","D:\arcfire20260607\tools\long-run-monitor\logs\overnight-final-report-20260708-0800.md","","yes","yes","822.6","25024"
"2026-07-08","OK","D:\arcfire20260607\tools\long-run-monitor\logs\overnight-final-report-20260708-0800.md","","yes","yes","823.3","25024"
"2026-07-08","OK","D:\arcfire20260607\tools\long-run-monitor\logs\overnight-final-report-20260708-0800.md","","yes","yes","820.7","25024"
"2026-07-08","OK","D:\arcfire20260607\tools\long-run-monitor\logs\overnight-final-report-20260708-0800.md","","yes","yes","819.0","25024"
"2026-07-08","OK","D:\arcfire20260607\tools\long-run-monitor\logs\overnight-final-report-20260708-0800.md","","yes","yes","831.0","25024"
