key,value,notesKo
test_planet_ids,,테스트용 고정가 행성(쉼표 구분·비우면 미사용). 아르카디아 1CR 테스트 해제(2026-07-24)
test_price_credits,1,레거시 테스트 고정가(CR) — test_planet_ids 비어 있으면 미적용
war_spoils_test_price_credits,10,전쟁 후 중립·분쟁지역 소유권 테스트가(CR). 추후 정상가−전쟁보상 식으로 교체
war_spoils_require_contested,true,true=분쟁지역(정적 CSV·동적 편입)만 적용. 전성계 분쟁화 대비 동일 게이트
annual_days,365,연간 실물수익 = max(관측 일×365 · 구역 target×ratio)
zone_annual_earn_ratio,0.55,구역 targetCreditsEarned → 연간 실물수익 추정 비율(주식 CF)
observed_fee_weight,1.00,당일 ledger·fabric 관측 — max(관측연간 · 구역모델)
sovereign_pgp_bmu_to_credits_mul,0.038,정성·영토가치 — PGP(BMU) 1당 CR (성주·국가 자산)
zone_safe_mul,1.00,안전(safe) 구역 정성 배율
zone_neutral_mul,1.12,중립(neutral) 구역 정성 배율
zone_pvp_mul,1.28,PvP 구역 정성 배율
zone_endgame_mul,1.55,엔드게임 구역 정성 배율
facility_trade_port_mul,1.12,무역소 보유 정성 배율
facility_shipyard_mul,1.06,조선소 보유 정성 배율
facility_tavern_mul,1.04,선술집 보유 정성 배율
supply_vitality_min,0.55,생산 활력 하한 — 연간 수익 추정
supply_vitality_max,1.35,생산 활력 상한 — 연간 수익 추정
population_revenue_floor,0.72,인구(R/P) 기반 수익 바닥 계수
population_revenue_span,0.56,인구(R/P) 기반 수익 가산 span
min_credits,25000,최저가(CR)
max_credits,4200000,최고가 상한(CR)
